titulo;empresa;pais;ciudad_limpia;ubicacion_raw;salario_medio_ppp_2024;indice_coste_vida_2024;indice_alquiler_2024;salario_real_ajustado;modalidad;es_teletrabajo;desc_longitud;url
Data Analyst;Veeva Systems;ES;;Teletrabajo;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;38;https://es.indeed.com/viewjob?jk=b85cf8023bc06f2d
Data Analyst;Prima;ES;Madrid;Trabajo híbrido in Madrid, Madrid provincia;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;138;https://es.indeed.com/viewjob?jk=055418f0b58cbe4a
Power Bi Developer;TechBiz Global GmbH;ES;Barcelona;Teletrabajo in Barcelona, Barcelona provincia;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;121;https://es.indeed.com/viewjob?jk=2ef6b22156fbf1ee
Data Analyst;Rakuten Global;ES;Barcelona;Trabajo híbrido in Barcelona, Barcelona provincia;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;94;https://es.indeed.com/viewjob?jk=e97d56e8a74e1252
Data Analyst;Numero Data;US;;Remote;82932.937;72.9;43.1;113762.6;Remoto/Híbrido;True;31;https://www.indeed.com/viewjob?jk=f80d53dbab3907e7
Data Analyst I or II;Obie;US;;Remote;82932.937;72.9;43.1;113762.6;Remoto/Híbrido;True;59;https://www.indeed.com/viewjob?jk=31fd3cb932a7e788
Junior Data Analyst;Utilisave;US;;Remote;82932.937;72.9;43.1;113762.6;Remoto/Híbrido;True;36;https://www.indeed.com/viewjob?jk=a7fadda4b5611dcd
Data Analyst;Bridgeprep Academy, Inc.;US;Miami;Miami, FL 33173;82932.937;72.9;43.1;113762.6;Presencial;False;53;https://www.indeed.com/viewjob?jk=92b16e6b2e9c0427
Data Analyst - Remote;ZYWAVE INC.;US;;Remote;82932.937;72.9;43.1;113762.6;Remoto/Híbrido;True;40;https://www.indeed.com/viewjob?jk=01ba14405e62f31b
Tactical Data Link Analyst ($5,000 Sign on Bonus Available);Astrion;US;Hampton;Hampton, VA;82932.937;72.9;43.1;113762.6;Presencial;False;79;https://www.indeed.com/viewjob?jk=a14536174c083f9b
Business Analyst III - 180508;Raise;US;Gastonia;Gastonia, NC 28056;82932.937;72.9;43.1;113762.6;Presencial;False;67;https://www.indeed.com/viewjob?jk=8652786896ac478c
Reporting Analyst;Thomas Instrument;US;Brookshire;Brookshire, TX 77423;82932.937;72.9;43.1;113762.6;Presencial;False;56;https://www.indeed.com/viewjob?jk=91764fc3bd0173dc
